Name,AssetType,AssetPath,FolderCategory,ConstructionClass,RelationRole,SuggestedSupportType,PivotType,SnapToGround,ScaleLooksMetric,NeedsScaleCheck,PlacementNotes,ChildCount,RendererCount,MeshCount,MaterialCount,MaterialNames,HasCollider,ColliderCount,HasRigidbody,RigidbodyCount,HasAnimator,HasLegacyAnimation,AnimationClipCount,AnimationClipNames,SizeX,SizeY,SizeZ,Labels
"SM_ConcreteColumn01","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteColumn01.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Wall1",True,1,False,0,False,False,0,"",0.6068,4.0059,0.6063,""
"SM_ConcreteColumn01","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteColumn01.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.6068,4.0075,0.6067,""
"SM_ConcreteWall01","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteWall01.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Wall1",True,1,False,0,False,False,0,"",0.3007,4.0014,4.0001,""
"SM_ConcreteWall01","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteWall01.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.3023,4.0025,4.0021,""
"SM_ConcreteWall02","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteWall02.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Wall1",True,1,False,0,False,False,0,"",0.3011,4.0008,4.0020,""
"SM_ConcreteWall02","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteWall02.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.3011,4.0008,4.0020,""
"SM_ConcreteWall03","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteWall03.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Wall1",True,1,False,0,False,False,0,"",0.3012,4.0043,3.9965,""
"SM_ConcreteWall03","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteWall03.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.3023,4.0079,4.0172,""
"SM_ConcreteWall04","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteWall04.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Wall1",True,1,False,0,False,False,0,"",0.3011,4.0015,3.9970,""
"SM_ConcreteWall04","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteWall04.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.3011,4.0123,3.9970,""
"SM_ConcreteWall05","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteWall05.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Wall1",True,1,False,0,False,False,0,"",0.3029,4.0014,4.0029,""
"SM_ConcreteWall05","Model","Assets/ConstructionSite/Meshes/Building/SM_ConcreteWall05.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.3033,4.0025,4.0084,""
"SM_ConcreteWall06","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteWall06.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Wall1",True,1,False,0,False,False,0,"",0.3071,4.0019,4.0017,""
